Date,Commodity Indicator,Product Short Desc,Future/Option,Electronic Volume,Total Volume
1/1/2000,ED,EURO DLR FUT,F,"232,796",8379642.00
1/1/2000,SP,S&P 500 FUT,F,"88,426",1915082.00
1/1/2000,ES,EMINI S&P FUT,F,"1,302,447",1305618.00
1/1/2000,ED,EURO DLR CALL,O,"6,600",972970.00
1/1/2000,ED,EURO DLR PUT,O,"6,303",942420.00
1/1/2000,J1,JAPAN YEN FUT,F,"39,288",436505.00
1/1/2000,EC,EURO FX FUT,F,"40,317",419910.00
1/1/2000,ND,NASDAQ 100 FUT,F,"17,793",349813.00
1/1/2000,48,LV CATTLE FUT,F,0,347290.00
1/1/2000,E1,SWISS FRNC FUT,F,"16,980",327094.00
1/1/2000,E0,1YR MIDCRV CALL,O,50,317939.00
1/1/2000,NQ,EMINI NASD FUT,F,"303,246",303588.00
1/1/2000,SP,S&P 500 PUT,O,10,243596.00
1/1/2000,E0,1YR MIDCRV PUT,O,0,201697.00
1/1/2000,BP,BRIT PND FUT,F,"13,417",192198.00
1/1/2000,C1,CANADA DLR FUT,F,"3,456",184328.00
1/1/2000,LN,LEAN HOGS FUT,F,0,175399.00
1/1/2000,SP,S&P 500 CALL,O,16,139808.00
1/1/2000,GI,GSCI FUT,F,0,98665.00
1/1/2000,MP,MEX PESO FUT,F,1,91665.00
1/1/2000,EY,EUROYEN FUT,F,0,91533.00
1/1/2000,AD,AUST DLR FUT,F,"3,281",90602.00
1/1/2000,62,FDR CATTLE FUT,F,0,73232.00
1/1/2000,EM,1-MTH EURODLR F,F,"5,135",63522.00
1/1/2000,56,FRZ PK BLY FUT,F,0,37650.00
1/1/2000,NK,NIKKEI ($) FUT,F,0,35933.00
1/1/2000,48,LV CATTLE PUT,O,0,27601.00
1/1/2000,RL,RUSS 2000 FUT,F,13,23970.00
1/1/2000,48,LV CATTLE CALL,O,0,22546.00
1/1/2000,J1,JAPAN YEN PUT,O,1,22377.00
1/1/2000,XP,SP AFLEX PUT,O,0,20363.00
1/1/2000,LB,LUMBER FUT,F,0,19871.00
1/1/2000,MD,S&P 400MID FUT,F,1,16918.00
1/1/2000,XH,ND AFLEX CALL,O,0,16445.00
1/1/2000,J1,JAPAN YEN CALL,O,0,13375.00
1/1/2000,EC,EURO FX CALL,O,0,13045.00
1/1/2000,RA,S AFR RAND FUT,F,0,11283.00
1/1/2000,E2,2YR MIDCRV PUT,O,0,10610.00
1/1/2000,62,FDR CATTLE PUT,O,0,10584.00
1/1/2000,XH,ND AFLEX PUT,O,0,9470.00
1/1/2000,EC,EURO FX PUT,O,0,7310.00
1/1/2000,E2,2YR MIDCRV CALL,O,0,7110.00
1/1/2000,LN,LEAN HOGS PUT,O,0,5977.00
1/1/2000,E1,SWISS FRNC CALL,O,0,5001.00
1/1/2000,BP,BRIT PND CALL,O,0,4629.00
1/1/2000,XP,SP AFLEX CALL,O,0,4150.00
1/1/2000,62,FDR CATTLE CALL,O,0,4095.00
1/1/2000,NE,NEW ZEALND FUT,F,0,4030.00
1/1/2000,LN,LEAN HOGS CALL,O,0,3895.00
1/1/2000,BP,BRIT PND PUT,O,0,3890.00
1/1/2000,C1,CANADA DLR PUT,O,0,3382.00
1/1/2000,C1,CANADA DLR CALL,O,0,3310.00
1/1/2000,E1,SWISS FRNC PUT,O,0,2863.00
1/1/2000,DA,MILK FUT,F,0,2411.00
1/1/2000,56,FRZ PK BLY CALL,O,0,2143.00
1/1/2000,56,FRZ PK BLY PUT,O,0,1845.00
1/1/2000,EY,EUROYEN PUT,O,0,1769.00
1/1/2000,SG,S&P GROWTH FUT,F,0,1762.00
1/1/2000,T1,90D TBILL FUT,F,0,1621.00
1/1/2000,E7,EMINI EURFX FUT,F,"1,614",1614.00
1/1/2000,ND,NASDAQ 100 PUT,O,0,1537.00
1/1/2000,ND,NASDAQ 100 CALL,O,0,1251.00
