Commodity Code,Division
48,CME
56,CME
62,CME
BZ,CME
CB,CME
CPO,CME
CSC,CME
DA,CME
DB,CME
DK,CME
DP,CME
DY,CME
EG,CME
EQ,CME
ET,CME
FB,CME
FC,CME
GD,CME
GN,CME
GNP,CME
H1,CME
H2,CME
H3,CME
H4,CME
ISM,CME
LB,CME
LC,CME
LH,CME
LN,CME
MX,CME
NF,CME
PB,CME
PC,CME
UF,CME
UL,CME
Z-BB,CME
Z-BD,CME
Z-E,CME
Z-ET,CME
Z-LB,CME
Z-LU,CME
Z-PO,CME
Z-PY,CME
Z-ST,CME
Z-TR,CME
Z-UC,CME
1M,GEM
1N,GEM
1R,GEM
2M,GEM
2N,GEM
2R,GEM
3M,GEM
3N,GEM
3R,GEM
4M,GEM
4N,GEM
4R,GEM
5M,GEM
5N,GEM
5R,GEM
BOS,GEM
BR,GEM
CHI,GEM
CUS,GEM
DEN,GEM
ER,GEM
F0,GEM
F5,GEM
GA,GEM
GI,GEM
I1,GEM
JC,GEM
JE,GEM
LAV,GEM
LAX,GEM
MIA,GEM
MO,GEM
MP,GEM
MR,GEM
NYM,GEM
OG,GEM
OR,GEM
OX,GEM
RA,GEM
RL,GEM
RO,GEM
RS,GEM
RU,GEM
SDG,GEM
SFR,GEM
TA,GEM
TO,GEM
UO,GEM
UX,GEM
WDC,GEM
XU,GEM
Z-AB,GEM
Z-AT,GEM
Z-AX,GEM
Z-BE,GEM
Z-BF,GEM
Z-CB,GEM
Z-EB,GEM
ZI,GEM
Z-JA,GEM
Z-JM,GEM
ZM,GEM
Z-MB,GEM
Z-MN,GEM
ZR,GEM
ZS,GEM
ZT,GEM
Z-TE,GEM
Z-TS,GEM
Z-UF,GEM
Z-UT,GEM
16E,IMM
36E,IMM
3F,IMM
AC,IMM
AD,IMM
AJ,IMM
AN,IMM
BF,IMM
BP,IMM
BY,IMM
C1,IMM
CA,IMM
CC,IMM
CD,IMM
CN,IMM
CNH,IMM
CU,IMM
CY,IMM
CZ,IMM
DJ,IMM
DNV,IMM
E1,IMM
E5B,IMM
E7,IMM
EB,IMM
EC,IMM
ED,IMM
EED,IMM
EK,IMM
EL,IMM
EM,IMM
EY,IMM
FR,IMM
FT,IMM
FXD,IMM
HC,IMM
IS,IMM
IY,IMM
J1,IMM
J7,IMM
JB,IMM
JY,IMM
K,IMM
KE,IMM
KEV,IMM
KFV,IMM
KJ,IMM
KRW,IMM
KTV,IMM
LBA,IMM
M6A,IMM
M6B,IMM
M6C,IMM
M6E,IMM
M6J,IMM
M6S,IMM
MB,IMM
MCD,IMM
MIR,IMM
MJY,IMM
MNH,IMM
MSF,IMM
NB,IMM
NE,IMM
OSP,IMM
PZ,IMM
R,IMM
RF,IMM
RMB,IMM
RME,IMM
RMY,IMM
RP,IMM
RU,IMM
RY,IMM
S0,IMM
S2,IMM
S5,IMM
SE,IMM
SEV,IMM
SF,IMM
SIR,IMM
SJ,IMM
SKV,IMM
T1,IMM
TB,IMM
TRE,IMM
TRY,IMM
TZ,IMM
UN,IMM
YR,IMM
Z,IMM
ZAR,IMM
Z-DC,IMM
Z-DD,IMM
Z-DM,IMM
Z-DP,IMM
Z-DY,IMM
Z-FE,IMM
Z-FM,IMM
Z-FR,IMM
Z-IP,IMM
Z-JM,IMM
Z-MS,IMM
Z-RD,IMM
Z-RP,IMM
Z-RY,IMM
12,IOM
13,IOM
48,IOM
56,IOM
62,IOM
1#,IOM
1A,IOM
1B,IOM
1C,IOM
1F,IOM
1J,IOM
1K,IOM
1P,IOM
1S,IOM
1T,IOM
1U,IOM
1X,IOM
1Y,IOM
1Z,IOM
2#,IOM
2A,IOM
2B,IOM
2C,IOM
2D,IOM
2J,IOM
2K,IOM
2P,IOM
2S,IOM
2T,IOM
2U,IOM
2X,IOM
2Y,IOM
2Z,IOM
3A,IOM
3B,IOM
3C,IOM
3D,IOM
3J,IOM
3K,IOM
3P,IOM
3S,IOM
3T,IOM
3U,IOM
3X,IOM
3Y,IOM
3Z,IOM
4A,IOM
4B,IOM
4C,IOM
4D,IOM
4F,IOM
4J,IOM
4K,IOM
4P,IOM
4S,IOM
4T,IOM
4U,IOM
4X,IOM
4Y,IOM
4Z,IOM
5A,IOM
5B,IOM
5C,IOM
