DateOfSale,Year,Month,price,division
1/10/2001,2001,1,188000,CME
2/21/2001,2001,2,250000,CME
3/26/2001,2001,3,250000,CME
5/17/2001,2001,5,325000,CME
6/11/2001,2001,6,375000,CME
11/6/2001,2001,11,305000,CME
12/14/2001,2001,12,360000,CME
12/20/2001,2001,12,360000,CME
1/3/2002,2002,1,395000,CME
2/4/2002,2002,2,400000,CME
2/5/2002,2002,2,400000,CME
4/12/2002,2002,4,400000,CME
5/23/2002,2002,5,351000,CME
6/12/2002,2002,6,360000,CME
6/28/2002,2002,6,370000,CME
8/23/2002,2002,8,400000,CME
9/30/2002,2002,9,405000,CME
10/15/2002,2002,10,424500,CME
10/15/2002,2002,10,415000,CME
12/4/2002,2002,12,385000,CME
12/5/2002,2002,12,375000,CME
12/27/2002,2002,12,410000,CME
12/27/2002,2002,12,420000,CME
1/2/2003,2003,1,432500,CME
1/10/2003,2003,1,400000,CME
1/28/2003,2003,1,381000,CME
3/13/2003,2003,3,385000,CME
3/19/2003,2003,3,395000,CME
3/19/2003,2003,3,400000,CME
4/14/2003,2003,4,404000,CME
4/25/2003,2003,4,400000,CME
5/6/2003,2003,5,409000,CME
5/20/2003,2003,5,420000,CME
6/6/2003,2003,6,435000,CME
6/9/2003,2003,6,435000,CME
6/12/2003,2003,6,400000,CME
6/19/2003,2003,6,395000,CME
6/27/2003,2003,6,400000,CME
7/1/2003,2003,7,395000,CME
7/25/2003,2003,7,376000,CME
8/11/2003,2003,8,335000,CME
8/14/2003,2003,8,360000,CME
9/9/2003,2003,9,350000,CME
9/17/2003,2003,9,350000,CME
9/18/2003,2003,9,377500,CME
9/25/2003,2003,9,350000,CME
11/12/2003,2003,11,366000,CME
11/14/2003,2003,11,356000,CME
12/1/2003,2003,12,350000,CME
12/1/2003,2003,12,350000,CME
12/4/2003,2003,12,360000,CME
12/19/2003,2003,12,374500,CME
12/30/2003,2003,12,355000,CME
1/16/2004,2004,1,370000,CME
3/11/2004,2004,3,370000,CME
3/12/2004,2004,3,370000,CME
3/29/2004,2004,3,365000,CME
4/16/2004,2004,4,370000,CME
4/26/2004,2004,4,400000,CME
5/7/2004,2004,5,405000,CME
5/11/2004,2004,5,410000,CME
5/19/2004,2004,5,385000,CME
5/21/2004,2004,5,400000,CME
5/24/2004,2004,5,400000,CME
6/4/2004,2004,6,400000,CME
7/27/2004,2004,7,400000,CME
8/11/2004,2004,8,406000,CME
8/19/2004,2004,8,420000,CME
8/24/2004,2004,8,420000,CME
9/7/2004,2004,9,407500,CME
9/21/2004,2004,9,400000,CME
10/13/2004,2004,10,385000,CME
10/15/2004,2004,10,380000,CME
10/18/2004,2004,10,374000,CME
11/3/2004,2004,11,330000,CME
11/3/2004,2004,11,325000,CME
11/10/2004,2004,11,360000,CME
11/11/2004,2004,11,360000,CME
11/18/2004,2004,11,340000,CME
12/13/2004,2004,12,320000,CME
12/17/2004,2004,12,360000,CME
1/6/2005,2005,1,365000,CME
1/6/2005,2005,1,365000,CME
1/25/2005,2005,1,355000,CME
3/3/2005,2005,3,317000,CME
3/8/2005,2005,3,319500,CME
3/9/2005,2005,3,309000,CME
3/30/2005,2005,3,285000,CME
3/30/2005,2005,3,280000,CME
4/28/2005,2005,4,305000,CME
5/11/2005,2005,5,283000,CME
5/13/2005,2005,5,287500,CME
5/19/2005,2005,5,300000,CME
5/20/2005,2005,5,300000,CME
5/23/2005,2005,5,310000,CME
6/1/2005,2005,6,325000,CME
6/7/2005,2005,6,339500,CME
6/8/2005,2005,6,345000,CME
6/8/2005,2005,6,355000,CME
6/9/2005,2005,6,375000,CME
6/9/2005,2005,6,375000,CME
7/5/2005,2005,7,387500,CME
7/5/2005,2005,7,388000,CME
7/6/2005,2005,7,388000,CME
7/6/2005,2005,7,380000,CME
7/12/2005,2005,7,370000,CME
7/12/2005,2005,7,370000,CME
8/25/2005,2005,8,385000,CME
9/15/2005,2005,9,380000,CME
9/22/2005,2005,9,380000,CME
9/29/2005,2005,9,380000,CME
10/4/2005,2005,10,375000,CME
10/4/2005,2005,10,350000,CME
10/4/2005,2005,10,340000,CME
10/20/2005,2005,10,350000,CME
10/28/2005,2005,10,340000,CME
11/3/2005,2005,11,340000,CME
12/5/2005,2005,12,345000,CME
1/6/2006,2006,1,350000,CME
1/10/2006,2006,1,347500,CME
1/10/2006,2006,1,347500,CME
1/10/2006,2006,1,347000,CME
1/24/2006,2006,1,355000,CME
1/24/2006,2006,1,365000,CME
2/14/2006,2006,2,397000,CME
4/28/2006,2006,4,370000,CME
6/6/2006,2006,6,397000,CME
6/12/2006,2006,6,405000,CME
6/22/2006,2006,6,410000,CME
6/22/2006,2006,6,415000,CME
6/22/2006,2006,6,415000,CME
6/30/2006,2006,6,425000,CME
6/30/2006,2006,6,424000,CME
7/11/2006,2006,7,459500,CME
9/14/2006,2006,9,459500,CME
9/20/2006,2006,9,468000,CME
9/25/2006,2006,9,488000,CME
9/26/2006,2006,9,488000,CME
9/27/2006,2006,9,490000,CME
9/27/2006,2006,9,520000,CME
9/28/2006,2006,9,525000,CME
10/17/2006,2006,10,539000,CME
10/17/2006,2006,10,540000,CME
10/17/2006,2006,10,535000,CME
11/1/2006,2006,11,549500,CME
11/29/2006,2006,11,560000,CME
1/23/2007,2007,1,600000,CME
2/1/2007,2007,2,630000,CME
2/1/2007,2007,2,640000,CME
2/22/2007,2007,2,660000,CME
3/7/2007,2007,3,655000,CME
3/19/2007,2007,3,720000,CME
3/22/2007,2007,3,725000,CME
3/22/2007,2007,3,725000,CME
4/27/2007,2007,4,675000,CME
5/4/2007,2007,5,655000,CME
5/30/2007,2007,5,710000,CME
5/30/2007,2007,5,710000,CME
6/18/2007,2007,6,750000,CME
7/13/2007,2007,7,890000,CME
7/13/2007,2007,7,891000,CME
7/18/2007,2007,7,1030000,CME
7/25/2007,2007,7,1030000,CME
8/7/2007,2007,8,1100000,CME
8/8/2007,2007,8,1125000,CME
8/9/2007,2007,8,1200000,CME
8/13/2007,2007,8,1212500,CME
8/21/2007,2007,8,1250000,CME
9/28/2007,2007,9,1175000,CME
9/28/2007,2007,9,1200000,CME
10/25/2007,2007,10,1225000,CME
10/31/2007,2007,10,1275000,CME
10/31/2007,2007,10,1300000,CME
11/8/2007,2007,11,1325000,CME
11/14/2007,2007,11,1325000,CME
11/20/2007,2007,11,1450000,CME
11/20/2007,2007,11,1500000,CME
